厌	人	宅	竟日
声	意	古人	思
罢	扬州	忆	行
不须	求	公	祸福
悲	醉	倚	金
吹	客	月	寒
湿	客	安	意
柳	色	折	月
霜	风吹	天	汤
弄	意	月	醉
水	寄	花	痕
红	风	难	穷
山	飞	参禅	道
挽	烟霞	愁	人间
因缘	须	复	天
书	始终	月	心
闻	月	爱	清
扶桑	深	道士	流
空	夜	惟	犹
闲	度	客	闻
飞	河	春风	泪痕
雪	月	新	诗
济时	惨淡	百年	忠义
山川	寒	白头	赋
太	总	何人	天
成团	轻	今朝	花
春风	红	问	寂寥
笑	身	何事	天公
憔悴	空	心	孤
旧	草	鹿门	低
脱	月明	秋风	难
杖	香	挂	东风
雪	云	尤	占
山	子	收拾	贪
外	难	报	王
寒	轻	移	教
岁暮	间	闲	经年
傍	子	何当	短
混	摘	一时	归去
舟	阴阴	俱	满天
人	遗踪	人间	赤松
安	道	子	愁
识	问	使	春
住	闲	最	痴
老年	曾	断	冢
避	总	于今	祖宗
山中	青山	青山	尘
愁	春	梦	绿
梅花	诗	寒	先生
占	翠	山	流
人	家	犹	卜
空	功	醉卧	犹
闻	浑	放	头
裹	记	世间	神仙
罢	合	心	道
阴	深	行	林
春来	怨	郎	根
问	一水	客	飞
春	太	世间	诗情
新	水	看花	人
风吹	日	月	须
识	雨	酒	精神
梅花	分	草	香
滩	桃花	语	明
春风	香	看花	南
心	色	钱	随处
船	前	挽	犹
花	青	东风	意
易	家住	人间	日
非	轻	人	闻
合	天	山	前
色	夜	一事	肩舆
声	酒	燕子	吹
一曲	挽	今日	复
久	水	早	累
飞	一身	鱼	雪
诗	逐	水	风
绿	人	千里信	暗
鹿皮	天	新月	年丰
春	人	空	身
供	三尺	香	字
客	冉冉	言	圭
裾	家	春风	花
村	几回	人	花
非	成	意	须
毛	身	名	中原
清	今朝	发	生
雪	主人	愁	马
发	情	问	生
曲	泉	春酒	经年
雨	年	山	田
花	成	犹	手
日	相思	万里	平生
空	花	平生	烟霞
山	生	消息	笑
间	山	消日月	深处
城	响	风雨	水
翠	挂	岁	便是
水	人	寻	落日
月	声	晓	梅花
酒	暮	云	秋
复	倚	语	酒
鱼	风雨	枕上	话
终	君	言	须
钱	明	容	不须
低	诗	先生	梅花
冷	橐	葛藤	人
閒	天	敲	堕
今日	身	空	愁
灵	天	感	非
今日	古	诸	人
死	孙	新	当时
黄	制颓龄	曾	重
小	头	柳	花
一水	风	无限	兴
眼	自然	浪	低
紫	新	味	人
天	戎	全	军中
庙堂	身	尚	何人
落	生	道	香
心	疏	骨瘦	语
秋	游	草	舟
月	浑	身	梦
船	灯	六月	生
日	寻	梅花	鸣
小	故乡	恨	道
诗	何曾	斜阳	牛羊
新	亲	曾	频
西	启	雨	状元
